player_id,player_name,Age,nationality,position,team_id
1,Rea Turfrey,22,Czech Republic,Defender,98
2,Candi Inkster,23,Indonesia,Goalkeeper,88
3,Dawna Willcocks,32,Iran,Forward,96
4,Lonna Kynsey,31,Indonesia,Defender,5
5,Sheridan Rupert,44,Argentina,Goalkeeper,9
6,Kristel Real,37,Indonesia,Forward,10
7,Kerrill Sommersett,22,Russia,Forward,36
8,Goldina Kinnach,21,Ukraine,Defender,77
9,Alexi Scutching,23,China,Midfielder,51
10,Olivie Margrie,17,China,Goalkeeper,52
11,Elfrieda Gossling,40,Indonesia,Defender,33
12,Hillary Duchart,34,Indonesia,Goalkeeper,46
13,Vladimir Duckerin,15,Venezuela,Midfielder,93
14,Adele Kachel,19,Macedonia,Forward,21
15,Clyde Fadden,16,China,Defender,42
16,Sue Blissitt,15,China,Goalkeeper,94
17,Greer Brettle,18,United States,Goalkeeper,9
18,Zachery Garz,40,Afghanistan,Forward,8
19,Lib Espasa,35,Kenya,Goalkeeper,5
20,Corabelle Leftly,48,Yemen,Goalkeeper,63
21,Phillie Ferreira,47,Brazil,Midfielder,3
22,Darcee Vigurs,45,Vietnam,Forward,55
23,Wenda Filippazzo,16,Indonesia,Midfielder,69
24,Tamara Colman,36,Russia,Goalkeeper,37
25,Adria Brounsell,38,China,Defender,79
26,Lizzy Jado,46,Ukraine,Forward,71
27,Melania Greggor,49,Russia,Forward,71
28,Becca Cottesford,17,United States,Midfielder,82
29,Janaya Janman,26,Philippines,Defender,0
30,Suzy Snibson,22,Peru,Forward,42
31,Marcos Orvis,38,Philippines,Midfielder,83
32,Sallyanne Cracknell,34,China,Goalkeeper,11
33,Charita Jeffray,30,Indonesia,Forward,21
34,Amery Floch,35,Afghanistan,Midfielder,31
35,Muhammad Deerr,49,Russia,Defender,55
36,Gearalt Ingyon,14,China,Midfielder,60
37,Abbey Ivamy,37,South Korea,Goalkeeper,25
38,Hanni Hilland,41,Portugal,Goalkeeper,94
39,Codie Tyre,14,China,Forward,1
40,Karrah Freund,19,China,Midfielder,95
41,Rania Grelik,44,Indonesia,Defender,92
42,Nerte Greeding,35,Indonesia,Forward,32
43,Ekaterina Whitehair,39,Ukraine,Midfielder,51
44,Irena Pedrozzi,39,Brazil,Forward,77
45,Valery Meharg,41,China,Forward,35
46,Katerina Chilcotte,42,China,Midfielder,27
47,Rosette Haster,14,Greece,Defender,30
48,Duff Peevor,18,Japan,Midfielder,73
49,Genni Creamen,47,China,Forward,9
50,Mariska Furminger,19,Philippines,Defender,16
51,Roxanne Penddreth,15,France,Goalkeeper,89
52,Dominik Bellini,30,Peru,Midfielder,99
53,Aleen Lecointe,43,Thailand,Goalkeeper,74
54,Dionysus Sicely,17,Lebanon,Defender,11
55,Meagan Burmingham,31,United States,Midfielder,64
56,Juliane Megarrell,41,Bosnia and Herzegovina,Forward,14
57,Marne Chaikovski,36,Sweden,Midfielder,69
58,Stephi Obbard,33,Thailand,Goalkeeper,49
59,Mahmud Benns,46,Colombia,Forward,69
60,Marena Deal,39,Indonesia,Forward,61
61,Vail Pollicatt,15,Tunisia,Midfielder,62
62,Bruis Ucchino,47,Portugal,Goalkeeper,54
63,Aprilette Evins,35,Brazil,Midfielder,72
64,Humfried Doonican,18,China,Forward,71
65,Amaleta De Metz,39,Japan,Defender,61
66,Casper Pregal,49,Indonesia,Goalkeeper,49
67,Krishnah Le Marchant,37,Vietnam,Goalkeeper,36
68,Stanislaus Rapelli,48,Bolivia,Defender,98
69,Kinna Hazlehurst,40,Indonesia,Midfielder,27
70,Juieta Lewin,16,Indonesia,Defender,56
71,Godart Sinton,38,Indonesia,Defender,39
72,Bendick Ruffey,44,Portugal,Forward,66
73,Claretta Tydd,15,Philippines,Forward,17
74,Monty Hearl,37,Norway,Defender,4
75,Martina Dorbon,36,Mexico,Forward,89
76,Del Sabates,47,Bangladesh,Defender,4
77,Nanny Beart,39,Indonesia,Defender,9
78,Nils Brunt,19,Indonesia,Goalkeeper,80
79,Veradis Atton,35,China,Defender,24
80,Joanie Antunes,35,Kenya,Midfielder,74
81,Maressa Sherlock,18,Czech Republic,Defender,13
82,Tad Connal,33,France,Midfielder,8
83,Giraud Buckeridge,19,Brazil,Goalkeeper,59
84,Liane Pailin,27,China,Defender,6
85,Frazier Leyban,36,Malaysia,Defender,92
86,Angus Brignall,42,Sweden,Goalkeeper,29
87,Elisa Edworthie,30,Philippines,Forward,25
88,Waylon Monahan,19,Canada,Forward,82
89,Merrielle Escot,15,Jamaica,Defender,57
90,Missie Lias,41,Brazil,Midfielder,92
91,Anna-maria Sheere,17,Tanzania,Defender,75
92,Quentin Profit,22,Russia,Midfielder,23
