player_id,player_name,Age,nationality,position,team_id,team_name,stats_id,established_year,coach_name,home_city,match_id,date,location,teamId_A,teamId_B,Score_A,Score_B,match_attendance,Goals,matches_played,tournament_Id,tournament_name,tournament_startDate,tournament_endDate,winner_teamId,VenueId,VenueName,capacity,SponsorshipId,SponsorName,ContractAmt,ContractStartDate,ContractEndDate,Injury_Id,InjuryDescription,InjuryDate,RecoveryTime,sale_id,item_id,SaleDate,Quantity,TotalSaleAmt,item_name,Price,StockQuantity
1,Rea Turfrey,22,Czech Republic,Defender,98,Tigers,3206,2007,Lindy Spittle,Staré Město,442,09-01-2017,Yongqin,10,33,7,3,15043,3,93,77,Supreme Showdown Series,09-05-2013,11/17/2003,3,7,Enchanted Arena,46681,56,Dodi Senyard,5601710,09-07-2015,08/27/1997,20,Torn ACL,11-12-2009,4,126,2,12/15/1980,632,25915,Coach Clipboard,857,6835
2,Candi Inkster,23,Indonesia,Goalkeeper,88,Tigers,1774,2002,Quintin Pike,Plumbangan,997,09-12-1998,Santiago dos Velhos,86,75,5,4,42718,7,79,90,Epic Clash Challenge,10-12-1996,12/15/2005,3,44,Topaz Terrace,26001,91,Suellen Coule,2890319,09-10-1983,02/25/1985,2,Ankle Sprain,06-08-1984,6,523,1,04/26/2020,285,48141,Referee Whistle,313,3780
3,Dawna Willcocks,32,Iran,Forward,96,Falcons,5005,1995,Pamelina McKeurtan,Shāhīn Dezh,559,08/20/1989,Bayt ‘Adhāqah,33,2,6,9,33394,10,6,23,Legendary Battle Royale,01-03-2016,04/25/2001,4,50,Pearl Park,68019,58,Alysa Obell,227824,08-03-2020,06/26/1982,3,Neck Strain,06/24/2015,3,617,4,04/18/1999,765,24025,Stadium Seat Cushion,360,5587
4,Lonna Kynsey,31,Indonesia,Defender,5,Lions,1372,1996,Carlyn Kaaskooper,Urek-urek,139,04/17/2015,Erenhot,61,35,9,1,37741,6,100,12,Gladiator Games,12/23/1988,03-01-2024,9,46,Mythical Mansion,17295,86,Raffaello Juniper,9687038,06-08-1982,10/28/1994,13,Rib Contusion,09-12-2005,7,35,6,04/20/1995,501,84737,Sweatband Set,136,6243
5,Sheridan Rupert,44,Argentina,Goalkeeper,9,Eagles,6402,2002,Frederick Malpass,Avellaneda,556,10/25/1994,Oslo,95,86,6,10,77535,1,33,52,Grand Arena Showdown,06/15/1982,10/19/1986,1,37,Diamond Dome,25931,75,Zulema Jecks,8911149,02/21/1990,03/30/1988,11,Shin Splints,07/27/1997,1,26,2,09/17/2008,880,96237,Water Bottle Holder,267,9495
6,Kristel Real,37,Indonesia,Forward,10,Lions,2180,1955,Jaquelin Bass,Driyorejo,93,05/13/1986,Saint-Maurice-l'Exil,71,33,6,3,4495,6,20,62,Epic Clash Challenge,09/24/2019,06-05-2002,8,44,Titanium Terrace,45119,40,Byrle Renfree,2443506,08/27/2019,04-11-2019,10,Facial Laceration,12/28/1987,8,339,7,08-09-2003,115,74180,Sweatband Set,583,7690
7,Kerrill Sommersett,22,Russia,Forward,36,Bears,4186,2009,Glynnis Hagston,Zaokskiy,973,04-06-2011,Bourges,27,50,9,4,49865,5,37,83,Supreme Showdown Series,05/28/2006,07-03-2013,5,15,Mythos Field,3726,50,Homere McAnulty,7300936,02/27/2000,12/14/1995,10,Achilles Tendonitis,10-12-1990,11,606,6,11/23/1986,514,95166,Training Cones,999,8890
8,Goldina Kinnach,21,Ukraine,Defender,77,Lions,4653,1953,Marilee Staddom,Mirovka,554,10-01-2001,Biancheng,40,97,9,2,95009,2,64,56,Epic Clash Challenge,06-12-1988,11-04-2014,3,16,Epic Stadium,87192,53,Ennis McGrudder,7988510,04/29/1985,06/17/1989,16,Turf Toe,06/21/1991,1,612,1,04/25/2021,740,1015,Sweatband Set,286,8270
9,Alexi Scutching,23,China,Midfielder,51,Thunder,3702,1992,Finley Batrim,Niaojin,529,01/20/1990,Rosário do Sul,40,92,10,2,23594,9,77,5,Elite Championship Challenge,09-11-2003,01/15/1996,6,21,Pearl Park,15786,52,Esra Birtwisle,5584910,03-10-2020,01/29/1997,8,Knee Injury,02-11-2020,12,493,10,10-05-1987,615,93608,Training Cones,171,1055
10,Olivie Margrie,17,China,Goalkeeper,52,Bears,7614,1955,Rochette Andrejevic,Sanlidian,499,08/20/2007,Sundsvall,15,15,8,2,6215,1,69,52,Ultimate Showdown,06/30/1996,12/22/2002,3,25,Emerald Gardens,87137,45,Amandi Ratter,4656580,07/14/1981,07-06-2013,9,Shin Splints,08/17/2005,8,878,3,10-01-2012,490,47601,Referee Whistle,313,2375
11,Elfrieda Gossling,40,Indonesia,Defender,33,Thunder,1899,1968,Salomi Cheek,Sukasenang,476,11/28/2008,Bol’shoy Karay,16,99,3,2,52831,2,61,96,Mega Masters Tournament,10-08-1985,09-04-2019,4,28,Bronze Bowl,17362,63,Kimberley Pedrozzi,2139540,12-02-1996,05/21/2023,12,Neck Strain,03/16/1988,9,401,3,02/13/1982,258,68091,Goalkeeper Gloves,589,9372
12,Hillary Duchart,34,Indonesia,Goalkeeper,46,Eagles,6670,1986,Gigi Gabb,Patemon,247,09-10-2008,Benchu,76,26,10,7,51368,4,56,1,Champion's Cup,08/19/2014,08/26/2007,5,11,Mythical Museum,33835,90,Andras Scammonden,8432545,07/26/1992,06/27/1992,14,Plantar Fasciitis,11-10-2004,6,277,9,04/20/2015,454,37797,Referee Whistle,444,7165
